keyword,keyword_num_documents
here,100962
help,82004
issues,64346
bob,52009
yahoo,41173
details,37410
rick,36370
government,34246
done,33722
months,33633
reports,29759
update,29481
language,25198
four,24973
agreements,22088
higher,21567
revised,21166
physical,20889
lot,20753
southern,20197
pacific,19454
traders,19113
king,18732
nemec,17032
xls,16655
attachments,16454
linder,15487
cook,15409
volumes,15093
jane,14899
baughman,14275
justin,14134
reliantenergy,14069
simply,13555
met,13282
peggy,13176
solution,13102
dates,12905
initial,12862
harasin,12648
approximately,12114
prc,11887
resume,11763
sitara,11567
fixed,11513
tjones,11281
advantage,9279
tech,9253
partner,9168
busy,9099
cellpadding,8836
commissioner,8816
deadline,8766
415,8601
claims,8590
designed,8507
miss,8432
offices,8183
pro,8123
curve,8123
denver,7582
ots,7066
tools,7020
land,6965
putting,6834
nyse,6787
articles,6454
fleming,6430
expects,6386
insufficient,6313
notification,6213
marketers,6168
powell,6146
greenberg,6103
lose,5800
2003,5773
trouble,5751
assigned,5658
award,5345
aec,5308
addressee,5294
glen,5085
enterprise,5078
helped,5035
calpx,4895
rust,4628
living,4332
stalford,4252
sets,4174
guest,4159
bmeyers,4108
granted,4073
metoyer,4042
busyname,3946
onto,3936
truly,3907
shah,3885
exchanges,3854
ref,3845
historical,3825
rochmanm,3778
acquire,3662
beer,3575
announces,3553
remote,3552
ecs,3501
perlman,3454
kuykendall,3429
mcnamara,3322
kaiser,3253
debora,3122
developer,3084
questionable,3070
lblair,3057
bed,3032
rush,2953
personally,2850
milbank,2774
sandherr,2767
equivalent,2762
shoemake,2718
0pt,2713
graphics,2681
rbw,2674
rieker,2629
20be,2580
tip,2552
garden,2380
editorial,2378
letke,2351
honor,2305
129,2303
discounted,2302
sid,2287
lord,2272
exemption,2266
mia,2214
veselack,2145
notintended,2139
thisemail,2134
glendale,2120
anybody,2103
crazy,2088
voluntary,2086
protocol,2079
internally,2036
gus,2034
privilege,2011
ua4,2002
ricky,1987
cory,1984
bears,1972
smartmoney,1971
chandler,1948
averaged,1938
celebrate,1931
wins,1926
rocky,1917
museum,1853
quarterback,1852
scorman,1814
preston,1813
choosing,1770
mailman,1731
mercy,1662
altra,1657
burn,1645
hrabal,1635
winters,1566
dnelsen,1551
sprint,1543
omnibroadcast,1498
replying,1484
launches,1458
coaches,1446
20million,1430
football215,1428
martens,1419
sonya,1362
comtex,1349
452,1346
mgusa,1344
surge,1337
specialistenron,1328
honored,1287
harassment,1277
protecting,1262
113,1248
analytical,1230
3889713,1223
